index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
46,2013,"95,000 kms",First Owner,Diesel,Manual,Hyderabad,2.3 Lakh*,Chevrolet,25.44 kmpl,936 CC,57.6bhp,4000rpm,5,White,5 Speed,FWD,,Disc,Drum,,,5,3,4,DOHC,MPFI
47,2012,"79,865 kms",First Owner,Petrol,Manual,Hyderabad,2.32 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Red,5 Speed,FWD,,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
48,2008,"73,256 kms",First Owner,Petrol,Manual,Hyderabad,2.35 Lakh*,Maruti,18.9 kmpl,998 CC,67.1bhp,6200rpm,5,Golden,5 Speed,,,Ventilated Disc,Drum,,,4,3,4,,MPFI
49,2008,"62,000 kms",First Owner,Petrol,Manual,Hyderabad,2.35 Lakh*,Hyundai,20.36 kmpl,1197 CC,78.9bhp,6000rpm,5,Red,5 Speed,FWD,,,,,,4,4,4,DOHC,MPFI
50,2008,"89,608 kms",First Owner,LPG,Manual,Hyderabad,2.35 Lakh*,Maruti,26.2 km/kg,998 CC,58.2bhp,6200rpm,5,Red,5 Speed,FWD,,Ventilated Disc,Drum,,,4,3,4,null,MPFI
51,2012,"48,806 kms",First Owner,Petrol,Manual,Hyderabad,2.35 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
52,2011,"57,000 kms",First Owner,Diesel,Manual,Hyderabad,2.35 Lakh*,Ford,20.0 kmpl,1399 CC,68bhp,4000rpm,5,Black,5 Speed,Front Wheel Drive,,Ventilated Discs,Drum,148km/hr,14.8 Seconds,5,4,4,SOHC,Common Rail
53,2011,"92,411 kms",First Owner,Petrol,Manual,Hyderabad,2.38 Lakh*,Maruti,19.0 kmpl,998 CC,66.1bhp,6200rpm,5,Silver,5 Speed,FWD,,Ventilated Disc,Drum,,,5,3,4,,MPFI
54,2010,"1,10,000 kms",Second Owner,Petrol,Manual,Hyderabad,2.4 Lakh*,Hyundai,16.2 kmpl,1599 CC,103.2 PS at 5500 RPM,,5,,Five Speed Manual Transmission,Two Wheel Drive,Power,Disc,Drum,195 kmph,12.07 seconds,4,4,4,,
55,2013,"52,189 kms",First Owner,Petrol,Manual,Hyderabad,2.41 Lakh*,Maruti,16.8 kmpl,796 CC,34.2bhp,5000rpm,8,Silver,4 Speed,,,Disc,Drum,126 Kmph,20 Seconds,5,3,2,SOHC,MPFI
56,2011,"97,804 kms",First Owner,Petrol,Manual,Hyderabad,2.45 Lakh*,Hyundai,22.0 kmpl,814 CC,55 Bhp , 5500 rpm,5,Blue,5 Manual,RWD,,,,,,4,3,3,SOHC,
57,2016,"1,21,845 kms",First Owner,Diesel,Manual,Hyderabad,2.45 Lakh*,Chevrolet,18.2 kmpl,1248 CC,73.74bhp,4000rpm,8,Grey,5 Speed,,Power,Disc,Drum,160 Kmph,15 Seconds,5,4,4,DOHC,Direct Injection
58,2008,"82,000 kms",First Owner,Petrol,Manual,Hyderabad,2.45 Lakh*,Maruti,21.79 kmpl,998 CC,67.05bhp,5500rpm,5,Red,5 Speed,,,Disc,Drum,,18.6 Seconds,5,3,4,DOHC,MPFI
59,2013,"54,000 kms",First Owner,Petrol,Manual,Hyderabad,2.45 Lakh*,Maruti,20.92 kmpl,998 CC,67.1bhp,6200rpm,5,Maroon,5 Speed,FWD,,,,,13.3 Seconds,5,3,4,,
60,2013,"55,000 kms",First Owner,Petrol,Manual,Hyderabad,2.45 Lakh*,Maruti,22.74 kmpl,796 CC,47.3bhp,6000rpm,5,Grey,5 Speed,,,Solid Disc,Drum,140 kmph,19 Seconds,5,3,4,DOHC,MPFi
