index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1185,2020,"5,870 kms",First Owner,Petrol,Manual,Bangalore,19.15 Lakh*,MG,15.81 kmpl,1451 CC,141bhp,5000rpm,5,Black,6 Speed,FWD,,,,,,,4,4,,
1186,2016,"70,000 kms",First Owner,Diesel,Automatic,Bangalore,19.25 Lakh*,Mercedes-Benz,15.0 kmpl,2143 CC,107.3bhp,3200-4400rpm,5,Grey,7G DCT 7-Speed Dual Clutch Transmission,FWD,,,,,,5,4,4,,Direct Injection
1187,2016,"89,331 kms",First Owner,Diesel,Automatic,Bangalore,19.25 Lakh*,Toyota,11.36 kmpl,2755 CC,171.5 bhp,,7,White,6 Speed,RWD,,,,,,,,,,
1188,2018,"48,630 kms",First Owner,Diesel,Automatic,Bangalore,19.25 Lakh*,Toyota,11.36 kmpl,2755 CC,171.5bhp,3400rpm,7,BRONZE,6 Speed,RWD,,Disc,Drum,,,5,4,4,DOHC,Direct Injection
1189,2012,"60,000 kms",First Owner,Diesel,Automatic,Bangalore,19.75 Lakh*,Jaguar,14.74 kmpl,2993 CC,270.9bhp,4000rpm,5,Black,8 Speed,RWD,Power,Disc,Disc,250 Kmph,6.4 Seconds,4,6,4,DOHC,Direct Injection
1190,2018,"66,871 kms",First Owner,Diesel,Manual,Bangalore,19.75 Lakh*,Toyota,13.68 kmpl,2393 CC,147.8bhp,3400rpm,7,BRONZE,5 Speed,RWD,,,,,,5,7,4,DOHC,Direct Injection
1191,2012,"64,000 kms",First Owner,Diesel,Automatic,Bangalore,19.8 Lakh*,Jaguar,14.74 kmpl,2993 CC,270.9 bhp,,5,Black,8 Speed,RWD,,,,,,,,,,
1192,2016,"59,000 kms",First Owner,Petrol,Automatic,Bangalore,19.9 Lakh*,Skoda,14.67 kmpl,1798 CC,177.46bhp,5100-6200rpm,5,White,7 Speed,FWD,,,,,,5,4,4,DOHC,Direct Injection
1193,2015,"1,30,000 kms",Second Owner,Diesel,Automatic,Bangalore,19.95 Lakh*,Volvo,14.87 kmpl,2400 CC,215 bhp,,5,Silver,6 Speed,FWD,,,,,,,,,,
1194,2016,"17,000 kms",First Owner,Diesel,Automatic,Bangalore,20 Lakh*,Mercedes-Benz,20.0 kmpl,2143 CC,107.3bhp,3200-4400rpm,5,Red,7G DCT 7-Speed Dual Clutch Transmission,FWD,Power,Disc,Disc,190km/hr,10.6 Seconds,5,4,4,,Direct Injection
