index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1904,2015,"1,50,000 kms",First Owner,Diesel,Manual,Mumbai,10.5 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6bhp,3600rpm,8,Golden,5 Speed,,,,,,13.3 Seconds,5,4,4,DOHC,Common Rail
1905,2016,"60,000 kms",First Owner,Diesel,Manual,Mumbai,10.5 Lakh*,Hyundai,19.67 kmpl,1582 CC,126.2 bhp,,5,Grey,6 Speed,FWD,,,,,,,,,,
1906,2016,"72,649 kms",First Owner,Diesel,Manual,Mumbai,10.5 Lakh*,Toyota,12.99 kmpl,2494 CC,100.6 bhp,,7,Golden,5 Speed,,,,,,,,,,,
1907,2011,"1,20,000 kms",Second Owner,Diesel,Manual,Mumbai,10.5 Lakh*,Toyota,11.5 kmpl,2982 CC,171 PS , 3600 rpm,7,White,5 Speed,4WD,,,,,,5,4,4,DOHC,Common-Rail type
1908,2014,"1,10,000 kms",Third Owner,Diesel,Automatic,Mumbai,10.5 Lakh*,Mercedes-Benz,14.84 kmpl,2143 CC,170bhp,3000-4200rpm,5,Brown,7 Speed,RWD,,,,,,,4,4,,Direct Injection
1909,2016,"71,451 kms",First Owner,Diesel,Automatic,Mumbai,10.5 Lakh*,Hyundai,17.01 kmpl,1582 CC,126.2 bhp,,5,Grey,6 Speed,FWD,,,,,,,,,,
1910,2020,"27,000 kms",First Owner,Petrol,Manual,Mumbai,10.5 Lakh*,Toyota,17.03 kmpl,1462 CC,103.26 bhp,,5,Blue,5 Speed,,,,,,,,,,,
1911,2010,"44,000 kms",First Owner,Petrol,Manual,Mumbai,10.5 Lakh*,Mercedes-Benz,11.2 kmpl,2497 CC,203bhp,6100rpm,5,White,7 Speed,Rear-wheel drive with ESP,,,,,10.36 Seconds,4,6,4,,
1912,2016,"70,000 kms",First Owner,Diesel,Manual,Mumbai,10.5 Lakh*,Hyundai,19.67 kmpl,1582 CC,126.2bhp,4000rpm,5,Blue,6 Speed,FWD,,,,,,,4,4,DOHC,CRDi
1913,2019,"10,000 kms",First Owner,Diesel,Manual,Mumbai,10.5 Lakh*,Maruti,25.47 kmpl,1248 CC,88.50 bhp,,7,Silver,5 Speed,FWD,,,,,,,,,,
1914,2018,"47,771 kms",First Owner,Petrol,Automatic,Mumbai,10.51 Lakh*,Honda,18.0 kmpl,1497 CC,117.6bhp,6600rpm,5,URBAN TITANIUM,CVT,FWD,,,,,,,4,4,SOHC,PGM-Fi
1915,2017,"63,000 kms",First Owner,Petrol,Automatic,Mumbai,10.55 Lakh*,Hyundai,14.62 kmpl,1999 CC,149.92bhp,6200rpm,5,Blue,6 Speed,FWD,,,,,,4,4,4,DOHC,MPFI
1916,2020,"5,000 kms",First Owner,Petrol,Manual,Mumbai,10.6 Lakh*,Maruti,19.01 kmpl,1462 CC,103.2 bhp,,6,,5-Speed,FWD,,,,,,,4,4,,
1917,2020,"13,970 kms",First Owner,Petrol,Automatic,Mumbai,10.65 Lakh*,Ford,14.8 kmpl,1497 CC,121.36 bhp,,5,Silver,6 Speed,FWD,,,,,,,,,,
1918,2018,"40,000 kms",First Owner,Diesel,Automatic,Mumbai,10.65 Lakh*,Hyundai,22.0 kmpl,1582 CC,126.2 bhp,,5,Star Dust,6 Speed,FWD,,,,,,,,,,
1919,2012,"78,000 kms",First Owner,Diesel,Automatic,Mumbai,10.75 Lakh*,BMW,16.07 kmpl,1995 CC,181bhp,4000rpm,4,White,6 Speed,,,,,,,6,4,4,,
1920,2018,"16,900 kms",First Owner,Diesel,Manual,Mumbai,10.75 Lakh*,Hyundai,22.0 kmpl,1582 CC,126.2 bhp,,5,Black,6 Speed,FWD,,,,,,,4,4,DOHC,CRDi
